Name,Description,Coordinates,Latitude,Longitude,Hotel Class,Link,Ratings,Reviews,Reviews Breakdown,Address
Aloft Philadelphia Airport,"Sleek airport hotel offering a stylish bar, a gym & an indoor pool, plus a free airport shuttle.","{'latitude': 39.8911197, 'longitude': -75.2338319}",39.8911197,-75.2338319,3,https://www.marriott.com/en-us/hotels/phlai-aloft-philadelphia-airport/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 555}, {'stars': 4, 'count': 341}, {'stars': 3, 'count': 182}, {'stars': 2, 'count': 97}, {'stars': 1, 'count': 157}]",1332,"[{'name': 'Transit', 'description': 'Public transit', 'total_mentioned': 165, 'positive': 96, 'negative': 41, 'neutral': 28}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 389, 'positive': 238, 'negative': 129, 'neutral': 22}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 78, 'positive': 40, 'negative': 29, 'neutral': 9}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 266, 'positive': 179, 'negative': 79, 'neutral': 8}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 166, 'positive': 51, 'negative': 101, 'neutral': 14}, {'name': 'Pool', 'description': 'Pool', 'total_mentioned': 38, 'positive': 24, 'negative': 11, 'neutral': 3}]","aloft Philadelphia Airport, Island Avenue, Philadelphia, Philadelphia County, Pennsylvania, 19153, United States"
Inn On Camac,"Relaxed adults-only guesthouse offering a bar, plus compact rooms with mid-century decor.","{'latitude': 39.9475717, 'longitude': -75.16156959999999}",39.9475717,-75.16156959999999,3,https://www.innoncamac.com/,"[{'stars': 5, 'count': 9}, {'stars': 4, 'count': 2}, {'stars': 3, 'count': 2}, {'stars': 2, 'count': 5}, {'stars': 1, 'count': 4}]",22,"[{'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 9, 'positive': 4, 'negative': 4, 'neutral': 1}, {'name': 'Sleep', 'description': 'Sleep', 'total_mentioned': 9, 'positive': 3, 'negative': 5, 'neutral': 1}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 6, 'positive': 3, 'negative': 2, 'neutral': 1}, {'name': 'Location', 'description': 'Location', 'total_mentioned': 10, 'positive': 10, 'negative': 0, 'neutral': 0}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 8, 'positive': 4, 'negative': 4, 'neutral': 0}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 12, 'positive': 9, 'negative': 3, 'neutral': 0}]","1220, Locust Street, Washington Square West, Center City, Philadelphia, Philadelphia County, Pennsylvania, 19103, United States"
Wyndham Philadelphia Historic District,"Relaxed lodging offering a seasonal rooftop pool & free Wi-Fi, plus a bar & contemporary dining.","{'latitude': 39.952223499999995, 'longitude': -75.14728319999999}",39.9522235,-75.14728319999999,3,https://www.wyndhamhotels.com/wyndham/philadelphia-pennsylvania/wyndham-philadelphia-historic-district/overview?CID=LC:46q62bu8edfbx3y:47153&iata=00093796,"[{'stars': 5, 'count': 1213}, {'stars': 4, 'count': 941}, {'stars': 3, 'count': 458}, {'stars': 2, 'count': 191}, {'stars': 1, 'count': 215}]",3018,"[{'name': 'Location', 'description': 'Location', 'total_mentioned': 807, 'positive': 665, 'negative': 73, 'neutral': 69}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 834, 'positive': 574, 'negative': 201, 'neutral': 59}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 580, 'positive': 344, 'negative': 192, 'neutral': 44}, {'name': 'Parking', 'description': 'Parking', 'total_mentioned': 222, 'positive': 79, 'negative': 106, 'neutral': 37}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 249, 'positive': 35, 'negative': 200, 'neutral': 14}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 877, 'positive': 540, 'negative': 251, 'neutral': 86}]","Wyndham Philadelphia Historic District, 400, Arch Street, Center City, Philadelphia, Philadelphia County, Pennsylvania, 19106, United States"
Residence Inn Mt. Laurel at Bishop's Gate,"Relaxed all-suite hotel with an indoor pool & a gym, plus free Wi-Fi & hot breakfast.","{'latitude': 39.967257499999995, 'longitude': -74.9017805}",39.9672575,-74.9017805,3,https://www.marriott.com/en-us/hotels/phlrl-residence-inn-mt-laurel-at-bishops-gate/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 368}, {'stars': 4, 'count': 184}, {'stars': 3, 'count': 71}, {'stars': 2, 'count': 41}, {'stars': 1, 'count': 93}]",757,"[{'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 52, 'positive': 22, 'negative': 22, 'neutral': 8}, {'name': 'Hot Tub', 'description': 'Hot tub', 'total_mentioned': 7, 'positive': 3, 'negative': 2, 'neutral': 2}, {'name': 'Pets', 'description': 'Pets', 'total_mentioned': 17, 'positive': 5, 'negative': 10, 'neutral': 2}, {'name': 'Pool', 'description': 'Pool', 'total_mentioned': 19, 'positive': 10, 'negative': 5, 'neutral': 4}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 103, 'positive': 63, 'negative': 30, 'neutral': 10}, {'name': 'Gym', 'description': 'Gym', 'total_mentioned': 18, 'positive': 9, 'negative': 7, 'neutral': 2}]","Residence Inn, 1000, Bishops Gate Boulevard, Bishop's Gate Commercial Centre, Mount Laurel Township, Burlington County, New Jersey, 08054, United States"
SpringHill Suites Mt. Laurel Cherry Hill,"Contemporary all-suite hotel offering free Wi-Fi & hot breakfast, plus an indoor pool & a 24/7 gym.","{'latitude': 39.9646474, 'longitude': -74.9186938}",39.9646474,-74.9186938,3,https://www.marriott.com/en-us/hotels/phlsm-springhill-suites-mt-laurel-cherry-hill/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 500}, {'stars': 4, 'count': 172}, {'stars': 3, 'count': 42}, {'stars': 2, 'count': 16}, {'stars': 1, 'count': 26}]",756,"[{'name': 'Couples', 'description': 'Couple friendly', 'total_mentioned': 27, 'positive': 14, 'negative': 3, 'neutral': 10}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 51, 'positive': 25, 'negative': 18, 'neutral': 8}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 132, 'positive': 95, 'negative': 26, 'neutral': 11}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 39, 'positive': 22, 'negative': 10, 'neutral': 7}, {'name': 'Pool', 'description': 'Pool', 'total_mentioned': 19, 'positive': 12, 'negative': 5, 'neutral': 2}, {'name': 'Restaurant', 'description': 'Restaurant', 'total_mentioned': 64, 'positive': 45, 'negative': 16, 'neutral': 3}]","Spring Hill Suites, 5000, Midlantic Drive, Laurel Commercial Centre, Mount Laurel Township, Burlington County, New Jersey, 08054, United States"
Hyatt House Mt. Laurel,Warmly decorated suites with kitchenettes in a casual hotel offering a simple bar & free breakfast.,"{'latitude': 39.915914699999995, 'longitude': -74.9477096}",39.9159147,-74.9477096,3,https://www.hyatt.com/hyatt-house/en-US/phlxm-hyatt-house-mt-laurel?src=corp_lclb_google_seo_phlxm&%3Futm_source=google&utm_medium=organic&utm_campaign=lmr,"[{'stars': 5, 'count': 472}, {'stars': 4, 'count': 206}, {'stars': 3, 'count': 86}, {'stars': 2, 'count': 37}, {'stars': 1, 'count': 60}]",861,"[{'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 54, 'positive': 26, 'negative': 23, 'neutral': 5}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 130, 'positive': 108, 'negative': 11, 'neutral': 11}, {'name': 'Pool', 'description': 'Pool', 'total_mentioned': 22, 'positive': 16, 'negative': 5, 'neutral': 1}, {'name': 'Kitchen', 'description': 'Kitchen', 'total_mentioned': 73, 'positive': 40, 'negative': 20, 'neutral': 13}, {'name': 'Restaurant', 'description': 'Restaurant', 'total_mentioned': 73, 'positive': 59, 'negative': 6, 'neutral': 8}, {'name': 'Pets', 'description': 'Pets', 'total_mentioned': 15, 'positive': 3, 'negative': 9, 'neutral': 3}]","Hyatt House Mt. Laurel, 3000, Crawford Place, Club Villas, Mount Laurel Township, Burlington County, New Jersey, 08054, United States"
Aloft Mount Laurel,"Modern hotel with a lobby lounge & a cocktail bar, plus a fitness center & an indoor pool.","{'latitude': 39.931199, 'longitude': -74.9587701}",39.931199,-74.9587701,3,https://www.marriott.com/en-us/hotels/phlal-aloft-mount-laurel/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 686}, {'stars': 4, 'count': 342}, {'stars': 3, 'count': 129}, {'stars': 2, 'count': 55}, {'stars': 1, 'count': 75}]",1287,"[{'name': 'Couples', 'description': 'Couple friendly', 'total_mentioned': 51, 'positive': 29, 'negative': 11, 'neutral': 11}, {'name': 'Bar', 'description': 'Bar or lounge', 'total_mentioned': 99, 'positive': 70, 'negative': 16, 'neutral': 13}, {'name': 'Nightlife', 'description': 'Nightlife', 'total_mentioned': 30, 'positive': 15, 'negative': 7, 'neutral': 8}, {'name': 'Fitness', 'description': 'Fitness', 'total_mentioned': 74, 'positive': 57, 'negative': 16, 'neutral': 1}, {'name': 'Pool', 'description': 'Pool', 'total_mentioned': 42, 'positive': 36, 'negative': 5, 'neutral': 1}, {'name': 'Dining', 'description': 'Food and Beverage', 'total_mentioned': 63, 'positive': 46, 'negative': 8, 'neutral': 9}]","Aloft Mount Laurel, 558, Fellowship Road, East Gate Corporate Park, Fellowship, Mount Laurel Township, Burlington County, New Jersey, 08054, United States"
The Lily Inn,"Georgian-style B&B with sophisticated rooms, plus complimentary breakfast & snacks.","{'latitude': 40.0801509, 'longitude': -74.8595741}",40.0801509,-74.8595741,3,http://www.thelilyinn.com/,"[{'stars': 5, 'count': 107}, {'stars': 4, 'count': 9}, {'stars': 3, 'count': 3}, {'stars': 2, 'count': 2}, {'stars': 1, 'count': 2}]",123,"[{'name': 'Property', 'description': 'Property', 'total_mentioned': 57, 'positive': 54, 'negative': 2, 'neutral': 1}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 41, 'positive': 39, 'negative': 2, 'neutral': 0}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 39, 'positive': 32, 'negative': 3, 'neutral': 4}]","Clique Salon & Spa, 218, High Street, Burlington, Burlington County, New Jersey, 08016, United States"
Radisson Hotel Philadelphia Northeast,"Streamlined hotel featuring an atrium restaurant & a bar, plus an indoor/outdoor pool.","{'latitude': 40.1230888, 'longitude': -74.9780141}",40.1230888,-74.9780141,3,https://www.choicehotels.com/pennsylvania/trevose/radisson-hotels/pa990?mc=llgoxxpx,"[{'stars': 5, 'count': 1026}, {'stars': 4, 'count': 617}, {'stars': 3, 'count': 288}, {'stars': 2, 'count': 154}, {'stars': 1, 'count': 219}]",2304,"[{'name': 'Service', 'description': 'Service', 'total_mentioned': 568, 'positive': 410, 'negative': 127, 'neutral': 31}, {'name': 'Pool', 'description': 'Pool', 'total_mentioned': 132, 'positive': 104, 'negative': 17, 'neutral': 11}, {'name': 'Atmosphere', 'description': 'Atmosphere', 'total_mentioned': 91, 'positive': 81, 'negative': 1, 'neutral': 9}, {'name': 'TV', 'description': 'Room entertainment', 'total_mentioned': 26, 'positive': 4, 'negative': 16, 'neutral': 6}, {'name': 'Kitchen', 'description': 'Kitchen', 'total_mentioned': 61, 'positive': 6, 'negative': 45, 'neutral': 10}, {'name': 'Accessibility', 'description': 'Accessibility', 'total_mentioned': 56, 'positive': 9, 'negative': 44, 'neutral': 3}]","Radisson Hotel Philadelphia Northeast, 2400, Old Lincoln Highway, Linconia, Bensalem Township, Bucks County, Pennsylvania, 19053, United States"
Courtyard Burlington Mt. Holly/Westampton,"Modern hotel with an on-site restaurant, a courtyard & an indoor pool, plus free WiFi.","{'latitude': 40.0331228, 'longitude': -74.8166021}",40.0331228,-74.8166021,3,https://www.marriott.com/en-us/hotels/phlmh-courtyard-burlington-mt-holly-westampton/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 238}, {'stars': 4, 'count': 169}, {'stars': 3, 'count': 71}, {'stars': 2, 'count': 31}, {'stars': 1, 'count': 55}]",564,"[{'name': 'Service', 'description': 'Service', 'total_mentioned': 183, 'positive': 128, 'negative': 41, 'neutral': 14}, {'name': 'Property', 'description': 'Property', 'total_mentioned': 179, 'positive': 126, 'negative': 38, 'neutral': 15}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 133, 'positive': 94, 'negative': 29, 'neutral': 10}, {'name': 'Bathroom', 'description': 'Bathroom and toiletries', 'total_mentioned': 50, 'positive': 17, 'negative': 30, 'neutral': 3}, {'name': 'Couples', 'description': 'Couple friendly', 'total_mentioned': 7, 'positive': 5, 'negative': 0, 'neutral': 2}, {'name': 'Breakfast', 'description': 'Breakfast', 'total_mentioned': 38, 'positive': 10, 'negative': 24, 'neutral': 4}]","Courtyard Burlington Mt. Holly/Westampton, 30, Western Drive, Westampton Township, Burlington County, New Jersey, 08060, United States"
Sheraton Bucks County Langhorne,"Functional hotel with a casual restaurant & a cocktail lounge, plus an indoor pool & a 24-hour gym.","{'latitude': 40.1834992, 'longitude': -74.8693912}",40.1834992,-74.8693912,3,https://www.marriott.com/en-us/hotels/phlbc-sheraton-bucks-county-langhorne/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"[{'stars': 5, 'count': 800}, {'stars': 4, 'count': 428}, {'stars': 3, 'count': 169}, {'stars': 2, 'count': 79}, {'stars': 1, 'count': 140}]",1616,"[{'name': 'Property', 'description': 'Property', 'total_mentioned': 445, 'positive': 318, 'negative': 97, 'neutral': 30}, {'name': 'Service', 'description': 'Service', 'total_mentioned': 457, 'positive': 333, 'negative': 99, 'neutral': 25}, {'name': 'Cleanliness', 'description': 'Cleanliness', 'total_mentioned': 303, 'positive': 215, 'negative': 73, 'neutral': 15}, {'name': 'Wi-Fi', 'description': 'Wi-Fi', 'total_mentioned': 11, 'positive': 3, 'negative': 7, 'neutral': 1}, {'name': 'Safety', 'description': 'Safety', 'total_mentioned': 15, 'positive': 0, 'negative': 11, 'neutral': 4}, {'name': 'Air Conditioning', 'description': 'Air conditioning', 'total_mentioned': 19, 'positive': 2, 'negative': 13, 'neutral': 4}]","Sheraton Bucks County Hotel, Oxford Valley Road, Middletown Township, Bucks County, Pennsylvania, 19030, United States"
